what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369326331793
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1369326341637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369326348641
error,log,,,"Error: IOException",1369326349483
error,log,,,"Error: IOException",1369326349483
error,log,,,"Error: IOException",1369326349483
error,log,,,"Error: IOException",1369326349499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369326349984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369326350622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369326355271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369326375507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369326376956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369326420653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369326425942
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1369326434243
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369326460170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1369326473605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1369326483633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369326491605
error,log,,,"Error: IOException",1369326492930
error,log,,,"Error: IOException",1369326492992
error,log,,,"Error: IOException",1369326492992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369326493009
error,log,,,"Error: IOException",1369326524147
error,log,,,"Error: IOException",1369326524225
error,log,,,"Error: IOException",1369326524241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369326524289
error,log,,,"Error: IOException",1369326534459
error,log,,,"Error: IOException",1369326534508
error,log,,,"Error: IOException",1369326534508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369326534540
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1369326546659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369326548328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369326549748
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369326563851
